[132, ':DM_hits Gene/Pro: ENSDARG00000a69463_48 Length:703 ---#hits =134 R: 3 NR: 12 ENSDARP00000091900']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_641 Length:1583 ---#hits =7 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_640 Length:1584 ---#hits =19 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_64 Length:1614 ---#hits =10 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_635 Length:1575 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_630 Length:1536 ---#hits =7 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_627 Length:1574 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_615 Length:1538 ---#hits =8 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_614 Length:1539 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_613 Length:1535 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_612 Length:1547 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_568 Length:1559 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_556 Length:1502 ---#hits =8 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_553 Length:1583 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_545 Length:1576 ---#hits =8 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_538 Length:1582 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_522 Length:1586 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_510 Length:1519 ---#hits =12 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_508 Length:1505 ---#hits =11 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_505 Length:1557 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_501 Length:1542 ---#hits =7 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_498 Length:1571 ---#hits =11 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_494 Length:1524 ---#hits =7 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_489 Length:1591 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_479 Length:1529 ---#hits =11 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_476 Length:1528 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_469 Length:1548 ---#hits =7 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_464 Length:1582 ---#hits =13 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_462 Length:1525 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_46 Length:1544 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_458 Length:1582 ---#hits =7 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_450 Length:1570 ---#hits =7 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_447 Length:1543 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_440 Length:1581 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_438 Length:1566 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_434 Length:1601 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_432 Length:1587 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_431 Length:1512 ---#hits =8 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_430 Length:1537 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_426 Length:1596 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_425 Length:1590 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_424 Length:1570 ---#hits =8 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_423 Length:1524 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_421 Length:1525 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_419 Length:1619 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_418 Length:1596 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_416 Length:1562 ---#hits =13 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_415 Length:1511 ---#hits =9 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_410 Length:1586 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_408 Length:1563 ---#hits =8 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_405 Length:1542 ---#hits =7 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_401 Length:1569 ---#hits =12 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_385 Length:1605 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_382 Length:1535 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_372 Length:1513 ---#hits =9 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_371 Length:1568 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_355 Length:1556 ---#hits =7 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_354 Length:1571 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_349 Length:1526 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_313 Length:1576 ---#hits =7 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_309 Length:1510 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_307 Length:1559 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_306 Length:1569 ---#hits =10 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_297 Length:1589 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_291 Length:1551 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_290 Length:1583 ---#hits =9 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_282 Length:1621 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_280 Length:1576 ---#hits =7 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_273 Length:1589 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_272 Length:1584 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_266 Length:1601 ---#hits =8 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_264 Length:1579 ---#hits =9 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_258 Length:1581 ---#hits =7 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_256 Length:1581 ---#hits =11 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_250 Length:1605 ---#hits =7 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_248 Length:1592 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_240 Length:1602 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_234 Length:1610 ---#hits =11 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_230 Length:1537 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_225 Length:1594 ---#hits =7 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_220 Length:1538 ---#hits =7 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_218 Length:1591 ---#hits =7 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_214 Length:1534 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_206 Length:1538 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_202 Length:1594 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_201 Length:1607 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_197 Length:1526 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_194 Length:1607 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_193 Length:1608 ---#hits =7 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_163 Length:1558 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_156 Length:1500 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_147 Length:1557 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_142 Length:1534 ---#hits =7 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_131 Length:1578 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_129 Length:1557 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_122 Length:1588 ---#hits =7 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_115 Length:1562 ---#hits =7 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_104 Length:1576 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000b39665_0 Length:1597 ---#hits =8 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000a39665_11 Length:1570 ---#hits =7 R: 10 NR: 12 ENSDARP00000057980']
[5, ':DM_hits Gene/Pro: ENSDARG00000079765_5 Length:732 ---#hits =8 R: 3 NR: 12 ENSDARP00000137482']
[5, ':DM_hits Gene/Pro: ENSDARG00000079765_1 Length:733 ---#hits =8 R: 3 NR: 12 ENSDARP00000137482']
[5, ':DM_hits Gene/Pro: ENSDARG00000079291_3 Length:997 ---#hits =6 R: 10 NR: 12 ENSDARP00000122193']
[5, ':DM_hits Gene/Pro: ENSDARG00000079291_2 Length:997 ---#hits =6 R: 10 NR: 12 ENSDARP00000122193']
[5, ':DM_hits Gene/Pro: ENSDARG00000074118_87 Length:749 ---#hits =6 R: 7 NR: 11 ENSDARP00000061169']
[5, ':DM_hits Gene/Pro: ENSDARG00000074118_82 Length:780 ---#hits =6 R: 7 NR: 11 ENSDARP00000061169']
[5, ':DM_hits Gene/Pro: ENSDARG00000074118_39 Length:708 ---#hits =6 R: 7 NR: 11 ENSDARP00000061169']
[5, ':DM_hits Gene/Pro: ENSDARG00000074118_28 Length:742 ---#hits =5 R: 7 NR: 11 ENSDARP00000061169']
[5, ':DM_hits Gene/Pro: ENSDARG00000074118_22 Length:732 ---#hits =6 R: 7 NR: 11 ENSDARP00000061169']
[5, ':DM_hits Gene/Pro: ENSDARG00000069342_8 Length:335 ---#hits =19 R: 4 NR: 11 ENSDARP00000119414']
[5, ':DM_hits Gene/Pro: ENSDARG00000058822_1 Length:432 ---#hits =8 R: 12 NR: 11 ENSDARP00000137026']
[5, ':DM_hits Gene/Pro: ENSDARG00000058666_22 Length:605 ---#hits =8 R: 11 NR: 11 ENSDARP00000122307']
[5, ':DM_hits Gene/Pro: ENSDARG00000058666_21 Length:602 ---#hits =8 R: 11 NR: 11 ENSDARP00000122307']
[5, ':DM_hits Gene/Pro: ENSDARG00000055510_1 Length:199 ---#hits =8 R: 3 NR: 12 ENSDARP00000099958']
[5, ':DM_hits Gene/Pro: ENSDARG00000055510_0 Length:199 ---#hits =8 R: 3 NR: 12 ENSDARP00000099958']
[5, ':DM_hits Gene/Pro: ENSDARG00000052910_1 Length:769 ---#hits =5 R: 11 NR: 12 ENSDARP00000116057']
[5, ':DM_hits Gene/Pro: ENSDARG00000024560_1 Length:1151 ---#hits =5 R: 11 NR: 12 ENSDARP00000072959']
[5, ':DM_hits Gene/Pro: ENSDARG00000021924_0 Length:653 ---#hits =6 R: 3 NR: 9 ENSDARP00000010413']
[5, ':DM_hits Gene/Pro: ENSDARG00000017741_41 Length:536 ---#hits =5 R: 12 NR: 12 ENSDARP00000121211']
[5, ':DM_hits Gene/Pro: ENSDARG00000016999_87 Length:241 ---#hits =5 R: 10 NR: 12 ENSDARP00000089741']
[5, ':DM_hits Gene/Pro: ENSDARG00000016999_111 Length:241 ---#hits =5 R: 10 NR: 12 ENSDARP00000089741']
[5, ':DM_hits Gene/Pro: ENSDARG00000000966_266 Length:2797 ---#hits =5 R: 12 NR: 11 ENSDARP00000001475']
[4, ':DM_hits Gene/Pro: ENSDARG00000c39665_2 Length:1551 ---#hits =9 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000c39665_0 Length:1583 ---#hits =10 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b62831_1 Length:637 ---#hits =4 R: 6 NR: 11 ENSDARP00000085674']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_95 Length:1500 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_90 Length:1601 ---#hits =10 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_88 Length:1582 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_86 Length:1535 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_82 Length:1574 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_81 Length:1593 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_8 Length:1575 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_77 Length:1525 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_766 Length:1514 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_763 Length:1579 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_754 Length:1566 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_741 Length:1503 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_74 Length:1578 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_739 Length:1571 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_731 Length:1608 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_729 Length:1605 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_722 Length:1567 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_72 Length:1578 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_719 Length:1513 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_718 Length:1510 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_717 Length:1517 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_716 Length:1506 ---#hits =7 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_711 Length:1502 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_710 Length:1508 ---#hits =7 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_709 Length:1528 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_702 Length:1512 ---#hits =12 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_70 Length:1527 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_7 Length:1562 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_695 Length:1516 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_694 Length:1492 ---#hits =8 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_693 Length:1528 ---#hits =7 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_687 Length:1530 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_686 Length:1519 ---#hits =7 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_679 Length:1545 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_671 Length:1566 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_669 Length:1522 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_662 Length:1544 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_661 Length:1525 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_660 Length:1518 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_66 Length:1572 ---#hits =8 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_645 Length:1520 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_644 Length:1515 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_63 Length:1511 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_623 Length:1515 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_621 Length:1534 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_62 Length:1523 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_607 Length:1513 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_605 Length:1547 ---#hits =7 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_60 Length:1585 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_599 Length:1536 ---#hits =7 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_597 Length:1524 ---#hits =6 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_591 Length:1553 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_589 Length:1541 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_583 Length:1540 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_581 Length:1543 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_58 Length:1591 ---#hits =7 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_570 Length:1562 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_569 Length:1586 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_564 Length:1497 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_562 Length:1550 ---#hits =7 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_561 Length:1579 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_560 Length:1563 ---#hits =7 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_56 Length:1567 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_558 Length:1515 ---#hits =10 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_547 Length:1562 ---#hits =8 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_54 Length:1567 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_531 Length:1571 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_530 Length:1552 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_529 Length:1563 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_527 Length:1495 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_526 Length:1522 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_525 Length:1509 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_524 Length:1528 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_523 Length:1580 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_520 Length:1553 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_52 Length:1570 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_519 Length:1488 ---#hits =5 R: 10 NR: 12 ENSDARP00000057980']
[4, ':DM_hits Gene/Pro: ENSDARG00000b39665_518 Length:1529 ---#hits =4 R: 10 NR: 12 ENSDARP00000057980']
