:ENSDARG00000000906_0.txt  ---total Length:383 ---#hits =2 R: 12 NR: 12 ENSDARP00000052659
ENSDARP00000070099 28  25-107
ENSDARP00000070099 29  25-107
ENSDARP00000070099 30  25-107
ENSDARP00000070099 31  25-107
ENSDARP00000070099 32  25-107
ENSDARP00000070099 33  25-107
ENSDARP00000070099 34  25-107
ENSDARP00000070099 35  34-113
ENSDARP00000070099 36  34-113
ENSDARP00000070099 37  34-113
ENSDARP00000070099 38  34-113
ENSDARP00000070099 39  34-113
ENSDARP00000070099 40  34-113
ENSDARP00000070099 41  34-113
ENSDARP00000070099 42  34-113
ENSDARP00000070099 43  34-113
ENSDARP00000070099 44  34-113
ENSDARP00000070099 45  34-113
ENSDARP00000070099 46  34-113
ENSDARP00000070099 47  34-113
ENSDARP00000070099 48  34-113
ENSDARP00000070099 49  34-113
ENSDARP00000070099 50  34-113
ENSDARP00000070099 51  34-113
ENSDARP00000070099 52  34-113
ENSDARP00000070099 53  34-113
ENSDARP00000070099 54  34-113
ENSDARP00000070099 55  34-113
ENSDARP00000070099 56  34-113
ENSDARP00000070099 57  34-113
ENSDARP00000070099 58  34-113
ENSDARP00000070099 59  34-113
ENSDARP00000070099 60  34-113
ENSDARP00000070099 61  34-113
ENSDARP00000070099 62  34-113
ENSDARP00000070099 63  34-113
ENSDARP00000070099 64  34-113
ENSDARP00000070099 65  34-113
ENSDARP00000070099 66  34-113
ENSDARP00000070099 67  34-113
ENSDARP00000070099 68  34-113
ENSDARP00000070099 69  34-113
ENSDARP00000070099 70  34-113
ENSDARP00000070099 71  34-113
ENSDARP00000070099 72  34-113
ENSDARP00000070099 73  34-113
ENSDARP00000070099 74  34-113
ENSDARP00000070099 168  104-182
ENSDARP00000070099 273  1-300
ENSDARP00000070099 284  1-300
ENSDARP00000070099 293  1-300
ENSDARP00000070099 297  1-300
:ENSDARG00000054878_0.txt  ---total Length:304 ---#hits =9 R: 3 NR: 12 ENSDARP00000071623
ENSDARP00000071623 146  125-193
ENSDARP00000071623 212  1-285
ENSDARP00000071623 213  1-285
ENSDARP00000071623 216  1-285
ENSDARP00000071623 221  1-285
ENSDARP00000071623 233  1-285
ENSDARP00000071623 242  1-285
ENSDARP00000071623 273  1-285
:ENSDARG00000055124_0.txt  ---total Length:654 ---#hits =1 R: 12 NR: 12 ENSDARP00000071902
ENSDARP00000071902 352  1-534
:ENSDARG00000055124_1.txt  ---total Length:632 ---#hits =3 R: 12 NR: 12 ENSDARP00000071902
ENSDARP00000071902 66  39-201
ENSDARP00000071902 67  39-201
ENSDARP00000071902 352  1-534
:ENSDARG00000055124_2.txt  ---total Length:632 ---#hits =3 R: 12 NR: 12 ENSDARP00000071902
ENSDARP00000071902 66  39-201
ENSDARP00000071902 67  39-201
ENSDARP00000071902 352  1-534
:ENSDARG00000055294_0.txt  ---total Length:387 ---#hits =33 R: 6 NR: 9 ENSDARP00000105581
ENSDARP00000105581 5  4-292
ENSDARP00000105581 20  4-292
ENSDARP00000105581 21  4-292
ENSDARP00000105581 23  4-292
ENSDARP00000105581 25  4-292
ENSDARP00000105581 26  4-292
ENSDARP00000105581 27  4-292
ENSDARP00000105581 28  4-292
ENSDARP00000105581 30  4-292
ENSDARP00000105581 31  4-292
ENSDARP00000105581 32  4-292
ENSDARP00000105581 33  4-292
ENSDARP00000105581 62  4-292
ENSDARP00000105581 80  4-292
ENSDARP00000105581 92  4-292
ENSDARP00000105581 93  4-292
ENSDARP00000105581 94  4-292
ENSDARP00000105581 95  4-292
ENSDARP00000105581 96  4-292
ENSDARP00000105581 97  4-292
ENSDARP00000105581 98  4-292
ENSDARP00000105581 99  4-292
ENSDARP00000105581 100  4-292
ENSDARP00000105581 101  4-292
ENSDARP00000105581 119  117-184
ENSDARP00000105581 126  119-175
ENSDARP00000105581 127  119-175
ENSDARP00000105581 134  119-175
ENSDARP00000105581 142  119-175
:ENSDARG00000055395_0.txt  ---total Length:476 ---#hits =62 R: 4 NR: 4 ENSDARP00000113053
ENSDARP00000113053 29  1-215
ENSDARP00000113053 49  1-215
ENSDARP00000113053 56  1-215
ENSDARP00000113053 57  1-215
ENSDARP00000113053 75  58-152
ENSDARP00000113053 76  58-152
ENSDARP00000113053 77  58-152
ENSDARP00000113053 78  58-152
ENSDARP00000113053 79  58-152
ENSDARP00000113053 80  58-152
ENSDARP00000113053 81  58-152
ENSDARP00000113053 82  58-152
ENSDARP00000113053 83  58-152
ENSDARP00000113053 85  58-152
ENSDARP00000113053 86  58-152
ENSDARP00000113053 87  58-152
ENSDARP00000113053 88  58-152
ENSDARP00000113053 89  58-152
ENSDARP00000113053 90  58-152
ENSDARP00000113053 91  58-152
ENSDARP00000113053 92  58-152
ENSDARP00000113053 93  58-152
ENSDARP00000113053 94  58-152
ENSDARP00000113053 95  58-152
ENSDARP00000113053 96  58-152
ENSDARP00000113053 97  58-152
ENSDARP00000113053 98  58-152
ENSDARP00000113053 99  58-152
ENSDARP00000113053 100  58-152
ENSDARP00000113053 101  58-152
ENSDARP00000113053 102  58-152
ENSDARP00000113053 103  58-152
ENSDARP00000113053 104  58-152
ENSDARP00000113053 105  58-152
ENSDARP00000113053 106  58-152
ENSDARP00000113053 107  58-152
ENSDARP00000113053 108  58-152
ENSDARP00000113053 114  58-152
ENSDARP00000113053 115  58-152
ENSDARP00000113053 116  58-152
ENSDARP00000113053 117  58-152
ENSDARP00000113053 118  58-152
ENSDARP00000113053 126  58-152
ENSDARP00000113053 127  58-152
ENSDARP00000113053 128  58-152
ENSDARP00000113053 129  58-152
ENSDARP00000113053 130  58-152
ENSDARP00000113053 131  58-152
ENSDARP00000113053 132  58-152
ENSDARP00000113053 133  58-152
:ENSDARG00000055395_1.txt  ---total Length:476 ---#hits =62 R: 4 NR: 4 ENSDARP00000113053
ENSDARP00000113053 29  1-215
ENSDARP00000113053 32  1-215
ENSDARP00000113053 56  1-215
ENSDARP00000113053 57  1-215
ENSDARP00000113053 75  58-152
ENSDARP00000113053 76  58-152
ENSDARP00000113053 77  58-152
ENSDARP00000113053 78  58-152
ENSDARP00000113053 79  58-152
ENSDARP00000113053 80  58-152
ENSDARP00000113053 81  58-152
ENSDARP00000113053 82  58-152
ENSDARP00000113053 83  58-152
ENSDARP00000113053 85  58-152
ENSDARP00000113053 86  58-152
ENSDARP00000113053 87  58-152
ENSDARP00000113053 88  58-152
ENSDARP00000113053 89  58-152
ENSDARP00000113053 90  58-152
ENSDARP00000113053 91  58-152
ENSDARP00000113053 92  58-152
ENSDARP00000113053 93  58-152
ENSDARP00000113053 94  58-152
ENSDARP00000113053 95  58-152
ENSDARP00000113053 96  58-152
ENSDARP00000113053 97  58-152
ENSDARP00000113053 98  58-152
ENSDARP00000113053 99  58-152
ENSDARP00000113053 100  58-152
ENSDARP00000113053 101  58-152
ENSDARP00000113053 102  58-152
ENSDARP00000113053 103  58-152
ENSDARP00000113053 104  58-152
ENSDARP00000113053 105  58-152
ENSDARP00000113053 106  58-152
ENSDARP00000113053 107  58-152
ENSDARP00000113053 108  58-152
ENSDARP00000113053 114  58-152
ENSDARP00000113053 115  58-152
ENSDARP00000113053 116  58-152
ENSDARP00000113053 117  58-152
ENSDARP00000113053 118  58-152
ENSDARP00000113053 126  58-152
ENSDARP00000113053 127  58-152
ENSDARP00000113053 128  58-152
ENSDARP00000113053 129  58-152
ENSDARP00000113053 130  58-152
ENSDARP00000113053 131  58-152
ENSDARP00000113053 132  58-152
ENSDARP00000113053 133  58-152
:ENSDARG00000055510_0.txt  ---total Length:199 ---#hits =8 R: 3 NR: 12 ENSDARP00000099958
ENSDARP00000099958 82  22-112
ENSDARP00000099958 84  22-112
ENSDARP00000099958 86  22-112
ENSDARP00000099958 95  22-112
ENSDARP00000099958 103  22-112
:ENSDARG00000055510_1.txt  ---total Length:199 ---#hits =8 R: 3 NR: 12 ENSDARP00000099958
ENSDARP00000099958 82  22-112
ENSDARP00000099958 84  22-112
ENSDARP00000099958 86  22-112
ENSDARP00000099958 95  22-112
ENSDARP00000099958 103  22-112
:ENSDARG00000056160_150.txt  ---total Length:689 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 452  394-543
:ENSDARG00000056160_151.txt  ---total Length:689 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 452  394-543
:ENSDARG00000056160_152.txt  ---total Length:689 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 452  394-543
:ENSDARG00000056160_153.txt  ---total Length:689 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 452  394-543
:ENSDARG00000056160_154.txt  ---total Length:689 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 452  394-543
:ENSDARG00000056160_155.txt  ---total Length:689 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 452  394-543
:ENSDARG00000056160_156.txt  ---total Length:689 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 452  394-543
:ENSDARG00000056160_157.txt  ---total Length:689 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 452  394-543
:ENSDARG00000056160_158.txt  ---total Length:689 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 452  394-543
:ENSDARG00000056160_159.txt  ---total Length:689 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 452  394-543
:ENSDARG00000056160_160.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_161.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_162.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_163.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_164.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_165.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_166.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_167.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_168.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_169.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_180.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_181.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_182.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_183.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_184.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_185.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_186.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_187.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_188.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_189.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_190.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_191.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_192.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_193.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_194.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_195.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_196.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_197.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_198.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_199.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_50.txt  ---total Length:689 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 452  394-543
:ENSDARG00000056160_51.txt  ---total Length:689 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 452  394-543
:ENSDARG00000056160_52.txt  ---total Length:689 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 452  394-543
:ENSDARG00000056160_53.txt  ---total Length:689 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 452  394-543
:ENSDARG00000056160_54.txt  ---total Length:689 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 452  394-543
:ENSDARG00000056160_55.txt  ---total Length:689 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 452  394-543
:ENSDARG00000056160_56.txt  ---total Length:689 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 452  394-543
:ENSDARG00000056160_57.txt  ---total Length:689 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 452  394-543
:ENSDARG00000056160_58.txt  ---total Length:689 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 452  394-543
:ENSDARG00000056160_59.txt  ---total Length:689 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 452  394-543
:ENSDARG00000056160_60.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_61.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_62.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_63.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_64.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_65.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_66.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_67.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_68.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_69.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_80.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_81.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_82.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_83.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_84.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_85.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_86.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_87.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_88.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_89.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_90.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_91.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_92.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_93.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_94.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_95.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_96.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_97.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_98.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056160_99.txt  ---total Length:688 ---#hits =1 R: 12 NR: 11 ENSDARP00000073057
ENSDARP00000073057 451  394-543
:ENSDARG00000056483_0.txt  ---total Length:412 ---#hits =34 R: 5 NR: 11 ENSDARP00000120091
ENSDARP00000120091 6  1-385
ENSDARP00000120091 86  76-91
ENSDARP00000120091 97  80-362
ENSDARP00000120091 112  80-362
ENSDARP00000120091 114  80-362
ENSDARP00000120091 118  80-362
ENSDARP00000120091 120  80-362
ENSDARP00000120091 121  80-362
ENSDARP00000120091 125  80-362
ENSDARP00000120091 165  80-362
ENSDARP00000120091 172  80-362
ENSDARP00000120091 177  80-362
ENSDARP00000120091 197  80-362
ENSDARP00000120091 198  80-362
ENSDARP00000120091 205  80-362
ENSDARP00000120091 213  80-362
ENSDARP00000120091 214  80-362
ENSDARP00000120091 222  80-362
ENSDARP00000120091 241  80-362
ENSDARP00000120091 248  80-362
ENSDARP00000120091 255  80-362
ENSDARP00000120091 260  80-362
ENSDARP00000120091 261  80-362
ENSDARP00000120091 263  80-362
ENSDARP00000120091 268  80-362
ENSDARP00000120091 276  80-362
ENSDARP00000120091 278  80-362
ENSDARP00000120091 308  80-362
ENSDARP00000120091 316  80-362
ENSDARP00000120091 319  80-362
ENSDARP00000120091 328  80-362
ENSDARP00000120091 332  80-362
ENSDARP00000120091 334  80-362
ENSDARP00000120091 336  80-362
:ENSDARG00000056483_1.txt  ---total Length:412 ---#hits =34 R: 5 NR: 11 ENSDARP00000120091
ENSDARP00000120091 6  1-385
ENSDARP00000120091 86  76-91
ENSDARP00000120091 97  80-362
ENSDARP00000120091 112  80-362
ENSDARP00000120091 114  80-362
ENSDARP00000120091 118  80-362
ENSDARP00000120091 120  80-362
ENSDARP00000120091 121  80-362
ENSDARP00000120091 125  80-362
ENSDARP00000120091 165  80-362
ENSDARP00000120091 172  80-362
ENSDARP00000120091 177  80-362
ENSDARP00000120091 197  80-362
ENSDARP00000120091 198  80-362
ENSDARP00000120091 205  80-362
ENSDARP00000120091 213  80-362
ENSDARP00000120091 214  80-362
ENSDARP00000120091 222  80-362
ENSDARP00000120091 241  80-362
ENSDARP00000120091 248  80-362
ENSDARP00000120091 255  80-362
ENSDARP00000120091 260  80-362
ENSDARP00000120091 261  80-362
ENSDARP00000120091 263  80-362
ENSDARP00000120091 268  80-362
ENSDARP00000120091 276  80-362
ENSDARP00000120091 278  80-362
ENSDARP00000120091 308  80-362
ENSDARP00000120091 316  80-362
ENSDARP00000120091 319  80-362
ENSDARP00000120091 328  80-362
ENSDARP00000120091 332  80-362
ENSDARP00000120091 334  80-362
ENSDARP00000120091 336  80-362
:ENSDARG00000056483_2.txt  ---total Length:412 ---#hits =34 R: 5 NR: 11 ENSDARP00000120091
ENSDARP00000120091 4  1-385
ENSDARP00000120091 87  76-91
ENSDARP00000120091 98  80-362
ENSDARP00000120091 113  80-362
ENSDARP00000120091 115  80-362
ENSDARP00000120091 119  80-362
ENSDARP00000120091 121  80-362
ENSDARP00000120091 122  80-362
ENSDARP00000120091 126  80-362
ENSDARP00000120091 166  80-362
ENSDARP00000120091 173  80-362
ENSDARP00000120091 178  80-362
ENSDARP00000120091 198  80-362
ENSDARP00000120091 199  80-362
ENSDARP00000120091 206  80-362
ENSDARP00000120091 214  80-362
ENSDARP00000120091 215  80-362
ENSDARP00000120091 223  80-362
ENSDARP00000120091 241  80-362
ENSDARP00000120091 248  80-362
ENSDARP00000120091 255  80-362
ENSDARP00000120091 260  80-362
ENSDARP00000120091 261  80-362
ENSDARP00000120091 263  80-362
ENSDARP00000120091 268  80-362
ENSDARP00000120091 276  80-362
ENSDARP00000120091 278  80-362
ENSDARP00000120091 308  80-362
ENSDARP00000120091 316  80-362
ENSDARP00000120091 319  80-362
ENSDARP00000120091 328  80-362
ENSDARP00000120091 332  80-362
ENSDARP00000120091 334  80-362
ENSDARP00000120091 336  80-362
:ENSDARG00000056483_3.txt  ---total Length:412 ---#hits =34 R: 5 NR: 11 ENSDARP00000120091
ENSDARP00000120091 4  1-385
ENSDARP00000120091 87  76-91
ENSDARP00000120091 98  80-362
ENSDARP00000120091 113  80-362
ENSDARP00000120091 115  80-362
ENSDARP00000120091 119  80-362
ENSDARP00000120091 121  80-362
ENSDARP00000120091 122  80-362
ENSDARP00000120091 126  80-362
ENSDARP00000120091 166  80-362
ENSDARP00000120091 173  80-362
ENSDARP00000120091 178  80-362
ENSDARP00000120091 198  80-362
ENSDARP00000120091 199  80-362
ENSDARP00000120091 206  80-362
ENSDARP00000120091 214  80-362
ENSDARP00000120091 215  80-362
ENSDARP00000120091 223  80-362
ENSDARP00000120091 241  80-362
ENSDARP00000120091 248  80-362
ENSDARP00000120091 255  80-362
ENSDARP00000120091 260  80-362
ENSDARP00000120091 261  80-362
ENSDARP00000120091 263  80-362
ENSDARP00000120091 268  80-362
ENSDARP00000120091 276  80-362
ENSDARP00000120091 278  80-362
ENSDARP00000120091 308  80-362
ENSDARP00000120091 316  80-362
ENSDARP00000120091 319  80-362
ENSDARP00000120091 328  80-362
ENSDARP00000120091 332  80-362
ENSDARP00000120091 334  80-362
ENSDARP00000120091 336  80-362
:ENSDARG00000056483_4.txt  ---total Length:415 ---#hits =3 R: 5 NR: 11 ENSDARP00000120091
ENSDARP00000120091 120  80-362
ENSDARP00000120091 121  80-362
ENSDARP00000120091 125  80-362
:ENSDARG00000056483_5.txt  ---total Length:415 ---#hits =3 R: 5 NR: 11 ENSDARP00000120091
ENSDARP00000120091 120  80-362
ENSDARP00000120091 121  80-362
ENSDARP00000120091 125  80-362
:ENSDARG00000056525_0.txt  ---total Length:1198 ---#hits =32 R: 9 NR: 12 ENSDARP00000106517
ENSDARP00000106517 298  183-919
ENSDARP00000106517 500  488-643
ENSDARP00000106517 578  488-643
ENSDARP00000106517 579  488-643
ENSDARP00000106517 624  488-643
ENSDARP00000106517 646  183-919
ENSDARP00000106517 647  183-919
ENSDARP00000106517 648  183-919
ENSDARP00000106517 662  183-919
ENSDARP00000106517 666  183-919
ENSDARP00000106517 696  183-919
ENSDARP00000106517 703  183-919
ENSDARP00000106517 706  705-913
ENSDARP00000106517 729  705-913
ENSDARP00000106517 734  705-913
ENSDARP00000106517 749  739-759
ENSDARP00000106517 752  739-759
ENSDARP00000106517 753  739-759
ENSDARP00000106517 754  739-759
ENSDARP00000106517 759  705-913
ENSDARP00000106517 760  705-913
ENSDARP00000106517 761  705-913
ENSDARP00000106517 762  705-913
ENSDARP00000106517 768  705-913
ENSDARP00000106517 774  705-913
ENSDARP00000106517 778  705-913
ENSDARP00000106517 805  705-913
ENSDARP00000106517 806  705-913
ENSDARP00000106517 863  705-913
ENSDARP00000106517 867  705-913
ENSDARP00000106517 870  705-913
:ENSDARG00000058471_0.txt  ---total Length:624 ---#hits =11 R: 12 NR: 12 ENSDARP00000075786
ENSDARP00000075786 23  5-588
ENSDARP00000075786 24  5-588
ENSDARP00000075786 25  5-588
ENSDARP00000075786 26  5-588
ENSDARP00000075786 49  33-137
ENSDARP00000075786 71  33-137
ENSDARP00000075786 186  138-352
ENSDARP00000075786 188  138-352
ENSDARP00000075786 483  452-582
:ENSDARG00000058471_1.txt  ---total Length:631 ---#hits =7 R: 12 NR: 12 ENSDARP00000075786
ENSDARP00000075786 22  5-588
ENSDARP00000075786 25  5-588
ENSDARP00000075786 26  5-588
ENSDARP00000075786 48  33-137
ENSDARP00000075786 70  33-137
ENSDARP00000075786 186  138-352
ENSDARP00000075786 188  138-352
:ENSDARG00000058666_0.txt  ---total Length:599 ---#hits =2 R: 11 NR: 11 ENSDARP00000122307
ENSDARP00000122307 151  126-217
ENSDARP00000122307 200  126-217
:ENSDARG00000058666_1.txt  ---total Length:562 ---#hits =2 R: 11 NR: 11 ENSDARP00000122307
ENSDARP00000122307 114  101-544
ENSDARP00000122307 204  126-217
:ENSDARG00000058666_10.txt  ---total Length:587 ---#hits =2 R: 11 NR: 11 ENSDARP00000122307
ENSDARP00000122307 151  126-217
ENSDARP00000122307 200  126-217
:ENSDARG00000058666_11.txt  ---total Length:557 ---#hits =1 R: 11 NR: 11 ENSDARP00000122307
ENSDARP00000122307 213  126-217
:ENSDARG00000058666_13.txt  ---total Length:597 ---#hits =2 R: 11 NR: 11 ENSDARP00000122307
ENSDARP00000122307 212  126-217
ENSDARP00000122307 253  224-406
