:ENSDARG00000000906_0.txt  ---total Length:383 ---#hits =2 R: 12 NR: 12 ENSDARP00000052659
ENSDARP00000023313 554  421-595
ENSDARP00000023313 555  421-595
ENSDARP00000023313 556  421-595
ENSDARP00000023313 557  421-595
ENSDARP00000023313 558  421-595
ENSDARP00000023313 559  421-595
ENSDARP00000023313 560  421-595
ENSDARP00000023313 561  421-595
ENSDARP00000023313 562  421-595
ENSDARP00000023313 563  421-595
ENSDARP00000023313 564  421-595
ENSDARP00000023313 565  421-595
ENSDARP00000023313 566  421-595
ENSDARP00000023313 567  421-595
ENSDARP00000023313 568  421-595
ENSDARP00000023313 569  421-595
ENSDARP00000023313 570  421-595
ENSDARP00000023313 571  421-595
ENSDARP00000023313 572  421-595
ENSDARP00000023313 573  421-595
ENSDARP00000023313 574  421-595
ENSDARP00000023313 575  421-595
ENSDARP00000023313 576  421-595
ENSDARP00000023313 577  421-595
ENSDARP00000023313 578  421-595
ENSDARP00000023313 579  421-595
ENSDARP00000023313 580  421-595
ENSDARP00000023313 581  421-595
ENSDARP00000023313 582  421-595
ENSDARP00000023313 583  421-595
ENSDARP00000023313 584  421-595
ENSDARP00000023313 585  421-595
ENSDARP00000023313 586  421-595
ENSDARP00000023313 587  421-595
ENSDARP00000023313 588  421-595
ENSDARP00000023313 589  421-595
ENSDARP00000023313 590  421-595
ENSDARP00000023313 591  421-595
ENSDARP00000023313 592  421-595
ENSDARP00000023313 593  421-595
ENSDARP00000023313 594  421-595
ENSDARP00000023313 595  449-600
ENSDARP00000023313 596  449-600
ENSDARP00000023313 597  449-600
ENSDARP00000023313 598  449-600
ENSDARP00000023313 599  449-600
ENSDARP00000023313 600  359-639
ENSDARP00000023313 601  359-639
ENSDARP00000023313 602  359-639
ENSDARP00000023313 603  359-639
ENSDARP00000023313 604  359-639
ENSDARP00000023313 605  359-639
ENSDARP00000023313 606  359-639
ENSDARP00000023313 607  359-639
ENSDARP00000023313 608  359-639
ENSDARP00000023313 609  359-639
ENSDARP00000023313 610  359-639
ENSDARP00000023313 611  359-639
ENSDARP00000023313 612  359-639
ENSDARP00000023313 613  359-639
ENSDARP00000023313 614  359-639
ENSDARP00000023313 615  359-639
ENSDARP00000023313 616  359-639
ENSDARP00000023313 617  359-639
ENSDARP00000023313 618  359-639
ENSDARP00000023313 619  359-639
ENSDARP00000023313 620  359-639
ENSDARP00000023313 621  359-639
ENSDARP00000023313 622  359-639
ENSDARP00000023313 623  359-639
ENSDARP00000023313 624  359-639
ENSDARP00000023313 625  359-639
ENSDARP00000023313 626  359-639
ENSDARP00000023313 627  359-639
ENSDARP00000023313 628  359-639
ENSDARP00000023313 629  359-639
ENSDARP00000023313 630  359-639
ENSDARP00000023313 631  359-639
ENSDARP00000023313 632  359-639
ENSDARP00000023313 633  359-639
ENSDARP00000023313 634  359-639
ENSDARP00000023313 635  359-639
ENSDARP00000023313 636  359-639
ENSDARP00000023313 637  359-639
ENSDARP00000023313 638  359-639
ENSDARP00000023313 729  728-826
ENSDARP00000023313 730  729-828
ENSDARP00000023313 731  729-828
ENSDARP00000023313 732  729-828
ENSDARP00000023313 733  729-828
ENSDARP00000023313 734  729-828
ENSDARP00000023313 735  729-828
ENSDARP00000023313 736  729-828
ENSDARP00000023313 737  729-828
ENSDARP00000023313 738  729-828
ENSDARP00000023313 739  729-828
ENSDARP00000023313 740  729-828
ENSDARP00000023313 741  729-828
ENSDARP00000023313 742  729-828
ENSDARP00000023313 743  729-828
ENSDARP00000023313 744  729-828
ENSDARP00000023313 745  729-828
ENSDARP00000023313 746  729-828
ENSDARP00000023313 747  729-828
ENSDARP00000023313 748  729-828
ENSDARP00000023313 749  729-828
ENSDARP00000023313 750  729-828
ENSDARP00000023313 751  729-828
ENSDARP00000023313 752  729-828
ENSDARP00000023313 753  729-828
ENSDARP00000023313 754  729-828
ENSDARP00000023313 755  729-828
ENSDARP00000023313 756  729-828
ENSDARP00000023313 757  729-828
ENSDARP00000023313 758  729-828
ENSDARP00000023313 759  729-828
ENSDARP00000023313 760  729-828
ENSDARP00000023313 761  729-828
ENSDARP00000023313 762  729-828
ENSDARP00000023313 763  729-828
ENSDARP00000023313 764  729-828
ENSDARP00000023313 765  729-828
ENSDARP00000023313 766  729-828
ENSDARP00000023313 767  729-828
ENSDARP00000023313 768  729-828
ENSDARP00000023313 769  729-828
ENSDARP00000023313 770  729-828
ENSDARP00000023313 771  729-828
ENSDARP00000023313 772  729-828
ENSDARP00000023313 773  729-828
ENSDARP00000023313 774  729-828
ENSDARP00000023313 775  729-828
ENSDARP00000023313 776  729-828
ENSDARP00000023313 777  729-828
ENSDARP00000023313 778  729-828
ENSDARP00000023313 779  729-828
ENSDARP00000023313 780  729-828
ENSDARP00000023313 781  729-828
ENSDARP00000023313 782  729-828
ENSDARP00000023313 783  729-828
ENSDARP00000023313 784  729-828
ENSDARP00000023313 785  729-828
ENSDARP00000023313 786  729-828
ENSDARP00000023313 787  729-828
ENSDARP00000023313 788  729-828
ENSDARP00000023313 789  729-828
ENSDARP00000023313 790  729-828
ENSDARP00000023313 791  729-828
ENSDARP00000023313 792  729-828
ENSDARP00000023313 793  729-828
ENSDARP00000023313 794  729-828
ENSDARP00000023313 795  729-828
ENSDARP00000023313 796  729-828
ENSDARP00000023313 797  729-828
ENSDARP00000023313 798  729-828
ENSDARP00000023313 799  729-828
ENSDARP00000023313 800  729-828
ENSDARP00000023313 801  729-828
ENSDARP00000023313 802  729-828
ENSDARP00000023313 803  729-828
ENSDARP00000023313 804  729-828
ENSDARP00000023313 805  729-828
ENSDARP00000023313 806  729-828
ENSDARP00000023313 807  729-828
ENSDARP00000023313 808  729-828
ENSDARP00000023313 809  729-828
ENSDARP00000023313 810  729-828
ENSDARP00000023313 811  729-828
ENSDARP00000023313 812  729-828
ENSDARP00000023313 813  729-828
ENSDARP00000023313 814  729-828
ENSDARP00000023313 815  729-828
ENSDARP00000023313 816  729-828
ENSDARP00000023313 817  729-828
ENSDARP00000023313 818  729-828
ENSDARP00000023313 819  729-828
ENSDARP00000023313 820  729-828
ENSDARP00000023313 821  729-828
ENSDARP00000023313 822  729-828
ENSDARP00000023313 823  729-828
ENSDARP00000023313 824  729-828
ENSDARP00000023313 825  729-828
ENSDARP00000023313 826  729-828
ENSDARP00000023313 827  729-828
ENSDARP00000023313 828  826-880
ENSDARP00000023313 829  826-880
ENSDARP00000023313 830  826-880
ENSDARP00000023313 831  826-880
ENSDARP00000023313 832  826-880
ENSDARP00000023313 833  826-880
ENSDARP00000023313 834  826-880
ENSDARP00000023313 835  826-880
ENSDARP00000023313 836  826-880
ENSDARP00000023313 837  826-880
ENSDARP00000023313 838  826-880
ENSDARP00000023313 839  826-880
ENSDARP00000023313 840  826-880
ENSDARP00000023313 841  826-880
ENSDARP00000023313 842  826-880
ENSDARP00000023313 843  826-880
ENSDARP00000023313 844  826-880
ENSDARP00000023313 845  826-880
ENSDARP00000023313 846  826-880
ENSDARP00000023313 847  826-880
ENSDARP00000023313 848  826-880
ENSDARP00000023313 849  826-880
ENSDARP00000023313 850  826-880
ENSDARP00000023313 851  826-880
ENSDARP00000023313 852  826-880
ENSDARP00000023313 853  826-880
ENSDARP00000023313 854  826-880
ENSDARP00000023313 855  826-880
ENSDARP00000023313 856  826-880
ENSDARP00000023313 857  826-880
ENSDARP00000023313 858  826-880
ENSDARP00000023313 859  826-880
ENSDARP00000023313 860  826-880
ENSDARP00000023313 861  826-880
ENSDARP00000023313 862  826-880
ENSDARP00000023313 863  826-880
ENSDARP00000023313 864  826-880
ENSDARP00000023313 865  826-880
ENSDARP00000023313 866  826-880
ENSDARP00000023313 867  826-880
ENSDARP00000023313 868  826-880
ENSDARP00000023313 869  826-880
ENSDARP00000023313 870  826-880
ENSDARP00000023313 871  826-880
ENSDARP00000023313 872  826-880
ENSDARP00000023313 873  826-880
ENSDARP00000023313 874  826-880
ENSDARP00000023313 875  826-880
ENSDARP00000023313 876  826-880
ENSDARP00000023313 877  826-880
ENSDARP00000023313 878  826-880
ENSDARP00000023313 879  826-880
ENSDARP00000023313 882  881-1005
ENSDARP00000023313 883  881-1005
ENSDARP00000023313 884  881-1005
ENSDARP00000023313 885  881-1005
ENSDARP00000023313 886  881-1005
ENSDARP00000023313 887  881-1005
ENSDARP00000023313 888  881-1005
ENSDARP00000023313 889  881-1005
ENSDARP00000023313 890  881-1005
ENSDARP00000023313 891  881-1005
ENSDARP00000023313 892  881-1005
ENSDARP00000023313 893  881-1005
ENSDARP00000023313 894  881-1005
ENSDARP00000023313 895  881-1005
ENSDARP00000023313 896  881-1005
ENSDARP00000023313 897  881-1005
ENSDARP00000023313 898  881-1005
ENSDARP00000023313 899  881-1005
ENSDARP00000023313 900  881-1005
ENSDARP00000023313 901  881-1005
ENSDARP00000023313 902  881-1005
ENSDARP00000023313 903  881-1005
ENSDARP00000023313 904  881-1005
ENSDARP00000023313 905  881-1005
ENSDARP00000023313 906  881-1005
ENSDARP00000023313 907  881-1005
ENSDARP00000023313 908  881-1005
ENSDARP00000023313 909  881-1005
ENSDARP00000023313 910  881-1005
ENSDARP00000023313 911  881-1005
ENSDARP00000023313 912  881-1005
ENSDARP00000023313 913  881-1005
ENSDARP00000023313 914  881-1005
ENSDARP00000023313 915  914-1019
ENSDARP00000023313 916  914-1019
ENSDARP00000023313 917  914-1019
ENSDARP00000023313 918  914-1019
ENSDARP00000023313 919  914-1019
ENSDARP00000023313 920  914-1019
ENSDARP00000023313 921  914-1019
ENSDARP00000023313 922  914-1019
ENSDARP00000023313 923  914-1019
ENSDARP00000023313 924  914-1019
ENSDARP00000023313 925  914-1019
ENSDARP00000023313 926  914-1019
ENSDARP00000023313 927  914-1019
ENSDARP00000023313 928  914-1019
ENSDARP00000023313 929  914-1019
ENSDARP00000023313 930  914-1019
ENSDARP00000023313 931  914-1019
ENSDARP00000023313 932  914-1019
ENSDARP00000023313 933  914-1019
ENSDARP00000023313 934  914-1019
ENSDARP00000023313 935  914-1019
ENSDARP00000023313 936  914-1019
ENSDARP00000023313 937  914-1019
ENSDARP00000023313 938  914-1019
ENSDARP00000023313 939  914-1019
ENSDARP00000023313 940  914-1019
ENSDARP00000023313 941  914-1019
ENSDARP00000023313 942  914-1019
ENSDARP00000023313 943  914-1019
ENSDARP00000023313 944  914-1019
ENSDARP00000023313 945  914-1019
ENSDARP00000023313 946  914-1019
ENSDARP00000023313 947  914-1019
ENSDARP00000023313 948  914-1019
ENSDARP00000023313 949  914-1019
ENSDARP00000023313 950  914-1019
ENSDARP00000023313 951  914-1019
ENSDARP00000023313 952  914-1019
ENSDARP00000023313 953  914-1019
ENSDARP00000023313 954  914-1019
ENSDARP00000023313 955  914-1019
ENSDARP00000023313 956  914-1019
ENSDARP00000023313 957  914-1019
ENSDARP00000023313 958  914-1019
ENSDARP00000023313 959  914-1019
ENSDARP00000023313 960  914-1019
ENSDARP00000023313 961  914-1019
ENSDARP00000023313 962  914-1019
ENSDARP00000023313 963  914-1019
ENSDARP00000023313 964  914-1019
ENSDARP00000023313 965  914-1019
ENSDARP00000023313 966  914-1019
ENSDARP00000023313 967  914-1019
ENSDARP00000023313 968  914-1019
ENSDARP00000023313 969  914-1019
ENSDARP00000023313 970  914-1019
ENSDARP00000023313 971  914-1019
ENSDARP00000023313 972  914-1019
ENSDARP00000023313 973  914-1019
ENSDARP00000023313 974  914-1019
ENSDARP00000023313 975  914-1019
ENSDARP00000023313 976  914-1019
ENSDARP00000023313 977  914-1019
ENSDARP00000023313 978  914-1019
ENSDARP00000023313 979  914-1019
ENSDARP00000023313 980  914-1019
ENSDARP00000023313 981  914-1019
ENSDARP00000023313 982  914-1019
ENSDARP00000023313 983  914-1019
ENSDARP00000023313 984  914-1019
ENSDARP00000023313 985  914-1019
ENSDARP00000023313 986  914-1019
ENSDARP00000023313 987  914-1019
ENSDARP00000023313 988  914-1019
ENSDARP00000023313 989  914-1019
ENSDARP00000023313 990  914-1019
ENSDARP00000023313 991  914-1019
ENSDARP00000023313 992  914-1019
ENSDARP00000023313 993  914-1019
ENSDARP00000023313 994  914-1019
ENSDARP00000023313 995  914-1019
ENSDARP00000023313 996  914-1019
ENSDARP00000023313 997  914-1019
ENSDARP00000023313 998  914-1019
ENSDARP00000023313 999  914-1019
ENSDARP00000023313 1000  914-1019
ENSDARP00000023313 1001  914-1019
ENSDARP00000023313 1002  914-1019
ENSDARP00000023313 1003  914-1019
ENSDARP00000023313 1004  914-1019
ENSDARP00000023313 1005  914-1019
ENSDARP00000023313 1006  914-1019
ENSDARP00000023313 1007  914-1019
ENSDARP00000023313 1008  914-1019
ENSDARP00000023313 1009  914-1019
ENSDARP00000023313 1010  914-1019
ENSDARP00000023313 1011  914-1019
ENSDARP00000023313 1012  914-1019
ENSDARP00000023313 1013  914-1019
ENSDARP00000023313 1014  914-1019
:ENSDARG00000012824_0.txt  ---total Length:1219 ---#hits =10 R: 8 NR: 12 ENSDARP00000096662
ENSDARP00000096662 327  22-460
ENSDARP00000096662 394  22-460
ENSDARP00000096662 440  22-460
ENSDARP00000096662 526  461-609
ENSDARP00000096662 563  461-609
ENSDARP00000096662 565  461-609
ENSDARP00000096662 582  461-609
ENSDARP00000096662 621  610-754
ENSDARP00000096662 855  772-981
:ENSDARG00000013161_0.txt  ---total Length:187 ---#hits =170 R: 3 NR: 0 ENSDARP00000091733
ENSDARP00000091733 2  1-158
ENSDARP00000091733 3  1-158
ENSDARP00000091733 4  3-165
ENSDARP00000091733 5  3-165
ENSDARP00000091733 6  3-165
ENSDARP00000091733 7  3-165
ENSDARP00000091733 8  3-165
ENSDARP00000091733 9  3-165
ENSDARP00000091733 10  3-165
ENSDARP00000091733 11  3-165
ENSDARP00000091733 12  3-165
ENSDARP00000091733 13  3-165
ENSDARP00000091733 14  3-165
ENSDARP00000091733 15  3-165
ENSDARP00000091733 16  3-165
ENSDARP00000091733 17  3-165
ENSDARP00000091733 18  3-165
ENSDARP00000091733 19  3-165
ENSDARP00000091733 20  3-165
ENSDARP00000091733 21  3-165
ENSDARP00000091733 22  3-165
ENSDARP00000091733 23  3-165
ENSDARP00000091733 24  3-165
ENSDARP00000091733 25  3-165
ENSDARP00000091733 26  3-165
ENSDARP00000091733 27  3-165
ENSDARP00000091733 28  3-165
ENSDARP00000091733 29  3-165
ENSDARP00000091733 30  3-165
ENSDARP00000091733 31  3-165
ENSDARP00000091733 32  3-165
ENSDARP00000091733 33  3-165
ENSDARP00000091733 34  3-165
ENSDARP00000091733 37  3-165
ENSDARP00000091733 38  3-165
ENSDARP00000091733 39  3-165
ENSDARP00000091733 40  3-165
ENSDARP00000091733 41  3-165
ENSDARP00000091733 43  3-165
ENSDARP00000091733 45  3-165
ENSDARP00000091733 47  3-165
ENSDARP00000091733 48  3-165
ENSDARP00000091733 49  3-165
ENSDARP00000091733 50  3-165
ENSDARP00000091733 51  3-165
ENSDARP00000091733 52  3-165
ENSDARP00000091733 53  3-165
ENSDARP00000091733 54  3-165
ENSDARP00000091733 55  3-165
ENSDARP00000091733 56  3-165
ENSDARP00000091733 57  3-165
ENSDARP00000091733 58  3-165
ENSDARP00000091733 59  3-165
ENSDARP00000091733 60  3-165
ENSDARP00000091733 61  3-165
ENSDARP00000091733 62  3-165
ENSDARP00000091733 63  3-165
ENSDARP00000091733 64  3-165
ENSDARP00000091733 65  3-165
ENSDARP00000091733 66  3-165
ENSDARP00000091733 67  3-165
ENSDARP00000091733 68  3-165
ENSDARP00000091733 69  3-165
ENSDARP00000091733 70  3-165
ENSDARP00000091733 71  3-165
ENSDARP00000091733 72  3-165
ENSDARP00000091733 73  3-165
ENSDARP00000091733 74  3-165
ENSDARP00000091733 75  3-165
ENSDARP00000091733 76  3-165
ENSDARP00000091733 77  3-165
ENSDARP00000091733 78  3-165
ENSDARP00000091733 79  3-165
ENSDARP00000091733 80  3-165
ENSDARP00000091733 81  3-165
ENSDARP00000091733 82  3-165
ENSDARP00000091733 83  3-165
ENSDARP00000091733 84  3-165
ENSDARP00000091733 85  3-165
ENSDARP00000091733 87  3-165
ENSDARP00000091733 88  3-165
ENSDARP00000091733 89  3-165
ENSDARP00000091733 90  3-165
ENSDARP00000091733 91  3-165
ENSDARP00000091733 92  3-165
ENSDARP00000091733 93  3-165
ENSDARP00000091733 95  3-165
ENSDARP00000091733 96  3-165
ENSDARP00000091733 97  3-165
ENSDARP00000091733 98  3-165
ENSDARP00000091733 99  3-165
ENSDARP00000091733 100  3-165
ENSDARP00000091733 101  3-165
ENSDARP00000091733 102  3-165
ENSDARP00000091733 103  3-165
ENSDARP00000091733 104  3-165
ENSDARP00000091733 105  3-165
ENSDARP00000091733 106  3-165
ENSDARP00000091733 108  3-165
ENSDARP00000091733 109  3-165
ENSDARP00000091733 110  3-165
ENSDARP00000091733 111  3-165
ENSDARP00000091733 112  3-165
ENSDARP00000091733 113  3-165
ENSDARP00000091733 114  3-165
ENSDARP00000091733 115  3-165
ENSDARP00000091733 116  3-165
ENSDARP00000091733 117  3-165
ENSDARP00000091733 118  3-165
ENSDARP00000091733 119  3-165
ENSDARP00000091733 122  3-165
ENSDARP00000091733 123  3-165
ENSDARP00000091733 124  3-165
ENSDARP00000091733 126  3-165
ENSDARP00000091733 127  3-165
ENSDARP00000091733 128  3-165
ENSDARP00000091733 129  3-165
ENSDARP00000091733 130  3-165
ENSDARP00000091733 131  3-165
ENSDARP00000091733 132  3-165
ENSDARP00000091733 133  3-165
ENSDARP00000091733 134  3-165
ENSDARP00000091733 135  3-165
ENSDARP00000091733 136  3-165
ENSDARP00000091733 137  3-165
ENSDARP00000091733 138  3-165
ENSDARP00000091733 139  3-165
ENSDARP00000091733 140  3-165
ENSDARP00000091733 141  3-165
ENSDARP00000091733 142  3-165
ENSDARP00000091733 143  3-165
ENSDARP00000091733 144  3-165
ENSDARP00000091733 145  3-165
ENSDARP00000091733 146  3-165
ENSDARP00000091733 147  3-165
ENSDARP00000091733 148  3-165
ENSDARP00000091733 149  3-165
ENSDARP00000091733 150  3-165
ENSDARP00000091733 151  3-165
ENSDARP00000091733 152  3-165
ENSDARP00000091733 153  3-165
ENSDARP00000091733 154  3-165
ENSDARP00000091733 155  3-165
ENSDARP00000091733 156  3-165
ENSDARP00000091733 157  3-165
ENSDARP00000091733 158  3-165
ENSDARP00000091733 159  3-165
ENSDARP00000091733 160  3-165
ENSDARP00000091733 161  3-165
ENSDARP00000091733 162  3-165
ENSDARP00000091733 163  3-165
ENSDARP00000091733 165  1-173
ENSDARP00000091733 166  1-173
ENSDARP00000091733 167  1-173
ENSDARP00000091733 168  1-173
ENSDARP00000091733 170  1-173
ENSDARP00000091733 171  1-173
ENSDARP00000091733 172  1-173
ENSDARP00000091733 173  1-187
ENSDARP00000091733 174  1-187
ENSDARP00000091733 175  1-187
ENSDARP00000091733 176  1-187
ENSDARP00000091733 177  1-187
ENSDARP00000091733 180  1-187
ENSDARP00000091733 181  1-187
ENSDARP00000091733 182  1-187
ENSDARP00000091733 183  1-187
ENSDARP00000091733 186  1-187
:ENSDARG00000013161_1.txt  ---total Length:187 ---#hits =170 R: 3 NR: 0 ENSDARP00000091733
ENSDARP00000091733 2  1-158
ENSDARP00000091733 3  1-158
ENSDARP00000091733 4  3-165
ENSDARP00000091733 5  3-165
ENSDARP00000091733 6  3-165
ENSDARP00000091733 7  3-165
ENSDARP00000091733 8  3-165
ENSDARP00000091733 9  3-165
ENSDARP00000091733 10  3-165
ENSDARP00000091733 11  3-165
ENSDARP00000091733 12  3-165
ENSDARP00000091733 13  3-165
ENSDARP00000091733 14  3-165
ENSDARP00000091733 15  3-165
ENSDARP00000091733 16  3-165
ENSDARP00000091733 17  3-165
ENSDARP00000091733 18  3-165
ENSDARP00000091733 19  3-165
ENSDARP00000091733 20  3-165
ENSDARP00000091733 21  3-165
ENSDARP00000091733 22  3-165
ENSDARP00000091733 23  3-165
ENSDARP00000091733 24  3-165
ENSDARP00000091733 25  3-165
ENSDARP00000091733 26  3-165
ENSDARP00000091733 27  3-165
ENSDARP00000091733 28  3-165
ENSDARP00000091733 29  3-165
ENSDARP00000091733 30  3-165
ENSDARP00000091733 31  3-165
ENSDARP00000091733 32  3-165
ENSDARP00000091733 33  3-165
ENSDARP00000091733 34  3-165
ENSDARP00000091733 37  3-165
ENSDARP00000091733 38  3-165
ENSDARP00000091733 39  3-165
ENSDARP00000091733 40  3-165
ENSDARP00000091733 41  3-165
ENSDARP00000091733 43  3-165
ENSDARP00000091733 45  3-165
ENSDARP00000091733 47  3-165
ENSDARP00000091733 48  3-165
ENSDARP00000091733 49  3-165
ENSDARP00000091733 50  3-165
ENSDARP00000091733 51  3-165
ENSDARP00000091733 52  3-165
ENSDARP00000091733 53  3-165
ENSDARP00000091733 54  3-165
ENSDARP00000091733 55  3-165
ENSDARP00000091733 56  3-165
ENSDARP00000091733 57  3-165
ENSDARP00000091733 58  3-165
ENSDARP00000091733 59  3-165
ENSDARP00000091733 60  3-165
ENSDARP00000091733 61  3-165
ENSDARP00000091733 62  3-165
ENSDARP00000091733 63  3-165
ENSDARP00000091733 64  3-165
ENSDARP00000091733 65  3-165
ENSDARP00000091733 66  3-165
ENSDARP00000091733 67  3-165
ENSDARP00000091733 68  3-165
ENSDARP00000091733 69  3-165
ENSDARP00000091733 70  3-165
ENSDARP00000091733 71  3-165
ENSDARP00000091733 72  3-165
ENSDARP00000091733 73  3-165
ENSDARP00000091733 74  3-165
ENSDARP00000091733 75  3-165
ENSDARP00000091733 76  3-165
ENSDARP00000091733 77  3-165
ENSDARP00000091733 78  3-165
ENSDARP00000091733 79  3-165
ENSDARP00000091733 80  3-165
ENSDARP00000091733 81  3-165
ENSDARP00000091733 82  3-165
ENSDARP00000091733 83  3-165
ENSDARP00000091733 84  3-165
ENSDARP00000091733 85  3-165
ENSDARP00000091733 87  3-165
ENSDARP00000091733 88  3-165
ENSDARP00000091733 89  3-165
ENSDARP00000091733 90  3-165
ENSDARP00000091733 91  3-165
ENSDARP00000091733 92  3-165
ENSDARP00000091733 93  3-165
ENSDARP00000091733 95  3-165
ENSDARP00000091733 96  3-165
ENSDARP00000091733 97  3-165
ENSDARP00000091733 98  3-165
ENSDARP00000091733 99  3-165
ENSDARP00000091733 100  3-165
ENSDARP00000091733 101  3-165
ENSDARP00000091733 102  3-165
ENSDARP00000091733 103  3-165
ENSDARP00000091733 104  3-165
ENSDARP00000091733 105  3-165
ENSDARP00000091733 106  3-165
ENSDARP00000091733 108  3-165
ENSDARP00000091733 109  3-165
ENSDARP00000091733 110  3-165
ENSDARP00000091733 111  3-165
ENSDARP00000091733 112  3-165
ENSDARP00000091733 113  3-165
ENSDARP00000091733 114  3-165
ENSDARP00000091733 115  3-165
ENSDARP00000091733 116  3-165
ENSDARP00000091733 117  3-165
ENSDARP00000091733 118  3-165
ENSDARP00000091733 119  3-165
ENSDARP00000091733 122  3-165
ENSDARP00000091733 123  3-165
ENSDARP00000091733 124  3-165
ENSDARP00000091733 126  3-165
ENSDARP00000091733 127  3-165
ENSDARP00000091733 128  3-165
ENSDARP00000091733 129  3-165
ENSDARP00000091733 130  3-165
ENSDARP00000091733 131  3-165
ENSDARP00000091733 132  3-165
ENSDARP00000091733 133  3-165
ENSDARP00000091733 134  3-165
ENSDARP00000091733 135  3-165
ENSDARP00000091733 136  3-165
ENSDARP00000091733 137  3-165
ENSDARP00000091733 138  3-165
ENSDARP00000091733 139  3-165
ENSDARP00000091733 140  3-165
ENSDARP00000091733 141  3-165
ENSDARP00000091733 142  3-165
ENSDARP00000091733 143  3-165
ENSDARP00000091733 144  3-165
ENSDARP00000091733 145  3-165
ENSDARP00000091733 146  3-165
ENSDARP00000091733 147  3-165
ENSDARP00000091733 148  3-165
ENSDARP00000091733 149  3-165
ENSDARP00000091733 150  3-165
ENSDARP00000091733 151  3-165
ENSDARP00000091733 152  3-165
ENSDARP00000091733 153  3-165
ENSDARP00000091733 154  3-165
ENSDARP00000091733 155  3-165
ENSDARP00000091733 156  3-165
ENSDARP00000091733 157  3-165
ENSDARP00000091733 158  3-165
ENSDARP00000091733 159  3-165
ENSDARP00000091733 160  3-165
ENSDARP00000091733 161  3-165
ENSDARP00000091733 162  3-165
ENSDARP00000091733 163  3-165
ENSDARP00000091733 165  1-173
ENSDARP00000091733 166  1-173
ENSDARP00000091733 167  1-173
ENSDARP00000091733 168  1-173
ENSDARP00000091733 170  1-173
ENSDARP00000091733 171  1-173
ENSDARP00000091733 172  1-173
ENSDARP00000091733 173  1-187
ENSDARP00000091733 174  1-187
ENSDARP00000091733 175  1-187
ENSDARP00000091733 176  1-187
ENSDARP00000091733 177  1-187
ENSDARP00000091733 180  1-187
ENSDARP00000091733 181  1-187
ENSDARP00000091733 182  1-187
ENSDARP00000091733 183  1-187
ENSDARP00000091733 186  1-187
:ENSDARG00000013168_0.txt  ---total Length:1256 ---#hits =17 R: 12 NR: 12 ENSDARP00000008197
ENSDARP00000008197 55  29-104
ENSDARP00000008197 221  183-287
ENSDARP00000008197 231  183-287
ENSDARP00000008197 446  444-479
ENSDARP00000008197 518  484-520
ENSDARP00000008197 522  519-559
ENSDARP00000008197 597  592-624
ENSDARP00000008197 601  592-624
ENSDARP00000008197 631  625-660
ENSDARP00000008197 707  698-739
ENSDARP00000008197 793  742-855
ENSDARP00000008197 865  860-927
ENSDARP00000008197 953  596-1093
ENSDARP00000008197 1068  1063-1087
:ENSDARG00000013227_0.txt  ---total Length:429 ---#hits =168 R: 11 NR: 0 ENSDARP00000043238
ENSDARP00000043238 33  27-104
ENSDARP00000043238 34  27-104
ENSDARP00000043238 36  27-104
ENSDARP00000043238 37  27-104
ENSDARP00000043238 39  27-104
ENSDARP00000043238 40  27-104
ENSDARP00000043238 41  27-104
ENSDARP00000043238 44  27-104
ENSDARP00000043238 46  27-104
ENSDARP00000043238 47  27-104
ENSDARP00000043238 50  27-104
ENSDARP00000043238 51  27-104
ENSDARP00000043238 52  27-104
ENSDARP00000043238 60  27-104
ENSDARP00000043238 62  27-104
ENSDARP00000043238 64  27-104
ENSDARP00000043238 65  27-104
ENSDARP00000043238 67  27-104
ENSDARP00000043238 68  27-104
ENSDARP00000043238 69  27-104
ENSDARP00000043238 71  27-104
ENSDARP00000043238 73  27-104
ENSDARP00000043238 75  27-104
ENSDARP00000043238 76  27-104
ENSDARP00000043238 80  27-104
ENSDARP00000043238 81  27-104
ENSDARP00000043238 86  27-104
ENSDARP00000043238 89  27-104
ENSDARP00000043238 90  27-104
ENSDARP00000043238 92  27-104
ENSDARP00000043238 103  27-104
ENSDARP00000043238 104  28-109
ENSDARP00000043238 108  28-109
ENSDARP00000043238 121  119-362
ENSDARP00000043238 126  119-362
ENSDARP00000043238 130  119-362
ENSDARP00000043238 131  119-362
ENSDARP00000043238 132  119-362
ENSDARP00000043238 133  119-362
ENSDARP00000043238 134  119-362
ENSDARP00000043238 138  119-362
ENSDARP00000043238 141  119-362
ENSDARP00000043238 148  119-362
ENSDARP00000043238 149  119-362
ENSDARP00000043238 153  119-362
ENSDARP00000043238 155  119-362
ENSDARP00000043238 157  119-362
ENSDARP00000043238 160  119-362
ENSDARP00000043238 164  119-362
ENSDARP00000043238 173  119-362
ENSDARP00000043238 174  119-362
ENSDARP00000043238 175  119-362
ENSDARP00000043238 177  119-362
ENSDARP00000043238 178  119-362
ENSDARP00000043238 179  119-362
ENSDARP00000043238 180  119-362
ENSDARP00000043238 181  119-362
ENSDARP00000043238 182  119-362
ENSDARP00000043238 183  119-362
ENSDARP00000043238 184  119-362
ENSDARP00000043238 193  119-362
ENSDARP00000043238 198  119-362
ENSDARP00000043238 200  119-362
ENSDARP00000043238 201  119-362
ENSDARP00000043238 202  119-362
ENSDARP00000043238 204  119-362
ENSDARP00000043238 205  119-362
